postId,keywordLabel,sector,barName,clicks,comments,publishTime,matchedWords,title,content,url
1759774405,中性,白酒,财富号评论吧,28410,2,2026-08-17 10:17:45,,"茅台最新中报：近10年利润首次负增长！白酒板块还能投吗？#白酒#茅台","","https://guba.eastmoney.com/news,cfhpl,1759774405.html"
1759930962,看多,创业板指,上证指数吧,4375,88,2026-08-17 12:40:26,回踩,"午后大盘风云走向｜冲高莫忘防背离，回踩方识守势真；涨时不贪跌不惧，节奏为纲稳中赢","","https://guba.eastmoney.com/news,sh000001,1759930962.html"
1760058008,中性,上证指数,财富号评论吧,1784,2,2026-08-17 14:25:36,,"重点操作思路：半导体芯片是走是留？直接告诉你！","","https://guba.eastmoney.com/news,cfhpl,1760058008.html"
1759919719,中性,创业板指,财富号评论吧,944,1,2026-08-17 12:16:04,,"指数主动挑战压力位，延续上涨趋势！！！","","https://guba.eastmoney.com/news,cfhpl,1759919719.html"
1759986477,看多,创业板指,财富号评论吧,704,1,2026-08-17 13:31:30,起飞,"300万实盘丨半导体、CPO，突然起飞，行情回来了？","","https://guba.eastmoney.com/news,cfhpl,1759986477.html"
1760042690,看多,创业板指,财富号评论吧,649,8,2026-08-17 14:14:29,牛市|牛来|牛真来|启动,"【8.17实盘】牛来！牛真来？牛市下半场的启动阶段！","","https://guba.eastmoney.com/news,cfhpl,1760042690.html"
1760057001,看多,创业板指,芯片ETF华夏吧,452,1,2026-08-17 14:24:56,加仓|主力,"主力持续进场，信号明显，加仓，继续冲？","","https://guba.eastmoney.com/news,sz159995,1760057001.html"
1760091544,中性,上证指数,上证指数吧,451,14,2026-08-17 14:49:25,,"收盘能不能守住3974点，请投票创业板指涨3％，上证指数涨1.34％，深证成指涨","","https://guba.eastmoney.com/news,sh000001,1760091544.html"
1760073598,中性,银行,银行Ⅱ吧,413,9,2026-08-17 14:37:00,,"还没进科技的别进了。涨幅差不多的，今天也可以考虑出点筹码。银行涨起来了。资金很多","","https://guba.eastmoney.com/news,bk0475,1760073598.html"
1760064988,中性,上证指数,财富号评论吧,409,0,2026-08-17 14:30:39,加仓|减仓,"半导体、CPO飙升，加仓还是减仓？附：板块涨跌估值","","https://guba.eastmoney.com/news,cfhpl,1760064988.html"
1760059315,看多,上证指数,上证指数吧,393,4,2026-08-17 14:26:30,拉升|主力,"主力今日心情不错，冲击上了3970+ 好厉害…偷袭拉升成功了！","","https://guba.eastmoney.com/news,sh000001,1760059315.html"
1759840320,中性,创业板指,上证指数吧,291,9,2026-08-17 10:53:27,,"大盘涨到4007~4016附近，短期就要注意一下回调的风险。当然了，不敢说能绝对","","https://guba.eastmoney.com/news,sh000001,1759840320.html"
1760059667,看空,上证指数,上证指数吧,290,4,2026-08-17 14:26:46,清仓,"清仓了，兄弟们，落袋为安，虽然没有赚多少准备休息到月底。","","https://guba.eastmoney.com/news,sh000001,1760059667.html"
1760077015,中性,上证指数,上证指数吧,247,12,2026-08-17 14:39:18,,"月底深度解析一只主板正股","","https://guba.eastmoney.com/news,sh000001,1760077015.html"
1759781819,中性,创业板指,创业板指吧,239,12,2026-08-17 10:21:35,,"真搞不懂唱空科技咋想的，国家队，大资金都在科技，不拉科技拉那些老登？搞笑吗？","","https://guba.eastmoney.com/news,sz399006,1759781819.html"
1760001898,中性,创业板指,上证指数吧,233,2,2026-08-17 13:43:19,,"今天的操作和本周的操作想法","","https://guba.eastmoney.com/news,sh000001,1760001898.html"
1760074010,看多,创业板指,创业板指吧,226,7,2026-08-17 14:37:18,牛市,"感谢了各位科技半导体本轮牛市赚了380万一共，全部套现财富自由了我在小县城房价4","","https://guba.eastmoney.com/news,sz399006,1760074010.html"
